entidad,tipo_entidad
Academia de Geografía e Historia de Guatemala,institución académica
Poptún,municipio
productor de televisión,profesional de medios
Departamento de Jalapa,departamento
ElPeriódico,periódico
Premio María Moors Cabot,premio
jinete hípico,deportista
director ejecutivo,propiedad de Wikidata para elementos sobre empresas
Juan Mauricio Wurmser,ser humano
Juan Montoya,ser humano
Juan de Hernández,ser humano
Julen Urigüen,ser humano
Julio Ariz Leiva,ser humano
Julio César Anderson,ser humano
Julio Quevedo,ser humano
Julio Rodas,ser humano
Julio Serrano Echeverría,ser humano
Kevin Avila Soto,ser humano
Kevin Sandoval,ser humano
Cash Luna,ser humano
Herman García,ser humano
Kenroy Arana Álvarez,ser humano
Leonel Noriega,ser humano
Lourdes Figueroa,ser humano
Luis Flores Asturias,ser humano
Luis Cardoza y Aragón,ser humano
Luis Enrique Sam Colop,ser humano
Luis Fernando García,ser humano
Universidad de Virginia,universidad
Sonsonate,ciudad
Tiquisate,municipio
Universidad de Misuri,universidad
Casa de Dios,megaiglesia
Cantel,municipio
Universidad de Búfalo,universidad
Amatitlán,página de desambiguación de Wikimedia
Lissie Habie,ser humano
Jesús Laparra,ser humano
Desideria Reyes de Laparra,ser humano
Julia Urrutia,ser humano
Sandra Xinico Batz,ser humano
Lucía Xiloj Cui,ser humano
Rebecca Lane,ser humano
Lorena Cabnal,ser humano
Marcela Gereda,ser humano
Amalia Chévez Nicolle,ser humano
Miguel Álvarez Arévalo,ser humano
Joaquín Álvarez,ser humano
Alberto Herrarte González,ser humano
Alfonso Cabrera Hidalgo,ser humano
Yolanda Fernández de Cofiño,ser humano
Romeo Gongora,ser humano
Julia Guillermina Herrera Peña,ser humano
Ana María Urruela de Quezada,ser humano
María del Carmen Meléndez de Alonzo,ser humano
Delia Quiñónez Castillo de Tock,ser humano
artista,profesión
activista por los derechos de las mujeres,activista
Patzún,municipio
columnista,periodista
activista,ocupación
músico de hip-hop,profesión musical
novelista,escritor
ministro de Relaciones Exteriores,cargo público
Santiago de Chile,ciudad
Chile,país
Universidad de las Hamburguesas,institución educativa
Montreal,ciudad
videoartista,profesión
academia van beeldende kunsten,institución académica
lingüista,profesión
conservador de museo,profesión
historiador del arte,profesión
crítico literario,profesión
K. Samanta Orellana,ser humano
Manuel Recinos,ser humano
Vicenta Jerónimo,ser humano
Sonia Gutiérrez Raguay,ser humano
Petrona Mejía,ser humano
Carlos Martínez Durán,ser humano
Juan Passarelli,ser humano
Shirley Rivera,ser humano
Paulina Cruz Ruiz,ser humano
Rosa Candida Mayorga Muñoz,ser humano
Diana Isabel Hernández Juárez,ser humano
Glenda R. Carpio,ser humano
Juana Ramírez Santiago,ser humano
María Cecilia Alfaro Quesada,ser humano
Dannia Guevara,ser humano
Juana Raymundo,ser humano
Leonardo McNish,ser humano
Cecilia Echeverría Falla,ser humano
Eduardo de León,ser humano
Andrea Villagrán,ser humano
entomólogo,profesión
Universidad Estatal de Arizona,universidad
médico,profesión
Todos Santos Cuchumatán,municipio
Palín,municipio
líder comunitario,cargo
trabajador social,profesión
sindicalista,activista
ambientalista,profesión
organizador comunitario,activista
