entidad,tipo_entidad
Comité Olímpico Internacional,federación deportiva internacional
campeón nacional,campeón
luchador de artes marciales mixtas,profesión
Luis Fuentes,ser humano
Angelina Acuña,ser humano
León Bilak Peritz,ser humano
Oswaldo Méndez,ser humano
Rodrigo Leal,ser humano
Karen Slowing-Aceituno,ser humano
Rodrigo Díaz,ser humano
Teresita Collado,ser humano
Juan Carlos Nájera,ser humano
Julio César Urías,ser humano
Melanie Slowing,ser humano
Paulette Samayoa,ser humano
Marlon Sequen,ser humano
Pablo Junior Barros,ser humano
José Orlando Alvarado,ser humano
Kristian Guzman,ser humano
José Hidalgo,ser humano
Margarita Carrera,ser humano
René Maltez,ser humano
Wilson Lalín,ser humano
filatelista,coleccionista
Chinique,municipio
Premio Copé,premio
Universidad de Iowa,universidad
Universidad Autónoma de Madrid,universidad
Chicacao,municipio
Luisa Ruano,ser humano
Liwy Grazioso,ser humano
Henry Saenz,ser humano
Rebeca Orellana,ser humano
Norma Sancir,ser humano
Cándido Macabi Véliz,ser humano
Kristhal André Figueroa Mansilla,ser humano
Kimberly Rocío López,ser humano
Ketzali Pérez,ser humano
Karen Lucía Lara,ser humano
Julie López,ser humano
Jovanna García Contreras,ser humano
Jeanelly Vásquez González,ser humano
Irene García,ser humano
Gaby Castillo,ser humano
Mónica Estefanía Chub,ser humano
Francelia Solano,ser humano
Evelyn Margarita Boche Ventura,ser humano
Evelin Vásquez,ser humano
Estephany Raquel Arreaga Jiménez,ser humano
Escuela Nacional de Antropología e Historia,institución académica
Universidad Galileo,universidad
diseñador gráfico,profesión
periodista freelance,profesión
reportero,periodista
periodista de prensa escrita,periodista
fotoperiodista,periodista
productor de cine,profesión
activista por los derechos de las personas transgénero,activista
activista LGBTI,activista
Jacinto Rodríguez Díaz,ser humano
Juan de Urruela,ser humano
Adrian Vidaurre,ser humano
Luis Martinez Castellanos,ser humano
Luis Martínez Mont,ser humano
Alexander Cifuentes,ser humano
Martin Prado Velez,ser humano
Mauro de León,ser humano
Néstor Jucup,ser humano
César Nathanael Morales,ser humano
Aldo Ricardo Castañeda,ser humano
Sixto Betancourt,ser humano
Francisco Danilo Aguilar,ser humano
Kevin Arriola,ser humano
Edgar Barquín,ser humano
Rigoberto Bran Azmitia,ser humano
Serapio Cruz,ser humano
Jimmy Morales Cabrera,ser humano
