entidad,tipo_entidad
Ricardo Buitrago,ser humano
Rigoman,ser humano
Roberto Chen,ser humano
Roberto Fernández Iglesias,ser humano
Roberto Pérez-Franco,ser humano
Río Chorcha,arroyo
Costa Rica,país
cacique,cargo
diputado,legislador
Universidad Drury,universidad
Conferencia de las Naciones Unidas sobre Comercio y Desarrollo,organización de las Naciones Unidas
antropólogo,profesión
Facultad de Filosofía y Letras (UBA),facultad universitaria
Instituto Tecnológico de Massachusetts,universidad
"Premio Nacional de Cuento ""José María Sánchez""",distinción
Rodolfo Caicedo,ser humano
Jacinto Vásquez,ser humano
Rolando Frazer,ser humano
Roque Javier Laurenza,ser humano
Salomón Ponce Aguilera,ser humano
Sandra Silvera,ser humano
Santos Jorge,ser humano
Jahphet Landis,ser humano
Jaime Alemán Healy,ser humano
Jaime Jaen,ser humano
Sofía Santim,ser humano
Stella Sierra,ser humano
Len Picota,ser humano
Tomás Miró Rubini,ser humano
Víctor Mendieta Jr.,ser humano
Virginia Hernández,ser humano
Javier Castillo,ser humano
Víctor Levi Sasso,ser humano
Víctor de la Guardia y Ayala,ser humano
Zoraida Díaz de Schtronn,ser humano
"Alemán, Cordero, Galindo & Lee",firma de abogados
Presidente de Nicaragua,cargo público
Ángel Lombardo,ser humano
Joel Solanilla,ser humano
Jorge Tejeira,ser humano
Jorge Velásquez,ser humano
José Lezcano,ser humano
José Antonio Sossa,ser humano
José Ardines,ser humano
José Franco,ser humano
José Luis Rodríguez Vélez,ser humano
José Miguel Alemán,ser humano
Joyce Jacobi,ser humano
Juan Berenguer,ser humano
Juan Carlos Navarro,ser humano
Juan Materno Vásquez de León,ser humano
Julio Linares,ser humano
Julio Medina III,ser humano
Julio Mosquera,ser humano
Julio Osorio,ser humano
Justo Arosemena Quesada,ser humano
Justo Arroyo,ser humano
Puerto Armuelles,ciudad
Calobre,Distritos de Panamá
Paraguay,país
Universidad Central del Ecuador,universidad
doctor honoris causa,título honorífico
historiador,profesión
